	sp_id	sp_hh_id	age	sex	work_id
0	1	27519	83	M	39141
1	2	29	24	M	46095
2	3	12155	94	M	45873
3	4	339	47	M	28635
4	5	34205	26	F	46912
5	6	3797	11	M	1394
6	7	2764	45	M	60116
7	8	1640	19	F	36717
8	9	36971	32	F	33942
9	10	22489	53	M	19524
10	11	37986	59	F	34694
11	12	38989	42	M	50819
12	13	38151	71	F	34636
13	14	35707	33	F	46510
14	15	20743	78	M	46230
15	16	36253	36	F	61791
16	17	38378	27	M	16239
17	18	17065	52	F	40456
18	19	30218	6	M	4039
19	20	44341	70	M	19277
20	21	41915	57	M	16775
21	22	44895	91	F	19640
22	23	27517	54	F	57888
23	24	43167	19	F	37808
24	25	263	61	F	41835
25	26	8816	21	M	54227
26	27	26979	79	F	16624
27	28	23196	45	M	27592
28	29	13670	79	F	43123
29	30	27424	5	M	9096
30	31	7994	45	M	24536
31	32	47399	33	M	39606
32	33	47233	40	F	59841
33	34	25472	76	F	21169
34	35	20672	70	M	60839
35	36	20639	31	F	48079
36	37	6991	94	F	28294
37	38	48893	20	F	24265
38	39	5505	67	M	57720
39	40	43639	24	M	29244
40	41	47190	6	F	449
41	42	932	94	F	34839
42	43	32656	41	F	50436
43	44	13882	98	F	50730
44	45	40685	43	F	59397
45	46	24590	88	F	34514
46	47	13118	6	F	5253
47	48	25511	1	M	3727
48	49	12694	38	F	54995
49	50	41266	68	M	28439
50	51	10477	5	M	3702
51	52	21374	52	M	49243
52	53	9670	16	F	9754
53	54	21907	3	M	5229
54	55	5540	37	F	30190
55	56	4020	49	M	44127
56	57	25454	87	M	27950
57	58	16753	14	F	10635
58	59	22308	11	F	4418
59	60	41496	69	M	55009
60	61	48147	80	F	34408
61	62	2975	67	M	50418
62	63	20756	65	M	53422
63	64	46262	89	F	36186
64	65	9364	91	F	35345
65	66	8778	38	M	51505
66	67	28136	66	M	54244
67	68	5109	42	F	35697
68	69	28691	96	M	50431
69	70	37346	72	M	22505
70	71	20232	14	M	6089
71	72	28864	94	F	23979
72	73	36365	26	F	60762
73	74	35078	58	M	58777
74	75	2542	60	F	18041
75	76	45026	12	F	689
76	77	18422	74	M	24749
77	78	17981	10	M	2738
78	79	9746	50	M	60876
79	80	49675	98	M	24557
80	81	28227	58	M	19261
81	82	28000	41	M	60630
82	83	11672	29	F	48270
83	84	12355	59	F	43187
84	85	35483	30	F	28095
85	86	46998	71	M	32487
86	87	10159	47	F	54449
87	88	13305	67	M	52937
88	89	24194	54	F	38107
89	90	32110	76	F	41324
90	91	28656	85	F	36102
91	92	14445	1	M	4796
92	93	39463	22	F	21781
93	94	14594	25	F	43967
94	95	12101	84	F	42205
95	96	11111	94	F	21411
96	97	26014	59	F	56759
97	98	26856	97	M	21084
98	99	3491	26	F	30795
99	100	25138	11	F	5607
100	101	9589	6	M	3992
101	102	49247	66	M	23090
102	103	36011	33	M	53473
103	104	6126	84	F	26356
104	105	39713	95	M	27584
105	106	3214	9	M	3671
106	107	15137	67	F	54058
107	108	6106	42	M	12864
108	109	31543	63	M	61057
109	110	47742	84	M	33995
110	111	6846	2	M	3759
111	112	23468	33	M	41429
112	113	743	25	F	23961
113	114	6679	95	F	61190
114	115	7386	66	F	58125
115	116	36368	69	M	12910
116	117	3400	17	F	1006
117	118	17070	65	M	50851
118	119	13161	9	F	10644
119	120	5137	67	F	59978
120	121	37753	94	F	37713
121	122	6897	1	F	4387
122	123	27846	51	M	17805
123	124	21128	52	M	45243
124	125	48101	12	F	1281
125	126	9979	37	M	41496
126	127	27834	13	M	766
127	128	14810	91	F	32679
128	129	45321	24	F	42170
129	130	39061	51	F	24039
130	131	18667	53	M	38078
131	132	41104	19	M	49774
132	133	21359	57	F	59429
133	134	25311	7	F	2921
134	135	49848	26	M	38312
135	136	32514	50	F	51934
136	137	45431	6	F	11211
137	138	31343	27	M	17048
138	139	5539	75	M	17961
139	140	48214	3	F	11130
140	141	40179	89	M	51832
141	142	37618	26	F	62319
142	143	31286	13	M	9045
143	144	1607	79	F	57887
144	145	19708	95	F	56192
145	146	31559	63	F	33066
146	147	16699	44	F	59708
147	148	35839	27	M	44486
148	149	26329	73	F	39560
149	150	33081	53	M	49324
150	151	1935	31	M	15740
151	152	18266	40	M	41190
152	153	21045	27	M	21787
153	154	44314	66	F	52139
154	155	24259	31	F	31936
155	156	33621	94	F	26094
156	157	28613	6	M	11753
