	sp_id	stcotrbg	hh_race	hh_income	hh_size	latitude	longitude	location	mo_name
5913	5914	190000	1	0.0	13	53.176658585	50.175861643	POINT (50.175861643 53.176658585)	Железнодорожный район
5791	5792	190000	1	0.0	11	53.176210132	50.150215809	POINT (50.150215809 53.176210132)	Железнодорожный район
12734	12735	190000	1	0.0	202	53.199095068	50.156318475	POINT (50.156318475 53.199095068)	Железнодорожный район
11582	11583	190000	1	0.0	43	53.192775814	50.119480247	POINT (50.119480247 53.192775814)	Железнодорожный район
6056	6057	190000	1	0.0	6	53.17720114	50.171542417	POINT (50.171542417 53.17720114)	Железнодорожный район
12178	12179	190000	1	0.0	76	53.19655745	50.182691	POINT (50.182691 53.19655745)	Железнодорожный район
5280	5281	190000	1	0.0	2	53.173337881	50.17905326	POINT (50.17905326 53.173337881)	Железнодорожный район
6437	6438	190000	1	0.0	10	53.178582446	50.172139199	POINT (50.172139199 53.178582446)	Железнодорожный район
12936	12937	190000	1	0.0	115	53.20002445	50.1795378	POINT (50.1795378 53.20002445)	Железнодорожный район
6974	6975	190000	1	0.0	3	53.180010732	50.154776869	POINT (50.154776869 53.180010732)	Железнодорожный район
5815	5816	190000	1	0.0	9	53.176288852	50.175018268	POINT (50.175018268 53.176288852)	Железнодорожный район
7343	7344	190000	1	0.0	10	53.1807857	50.18827065	POINT (50.18827065 53.1807857)	Железнодорожный район
5137	5138	190000	1	0.0	1	53.172211867	50.168448254	POINT (50.168448254 53.172211867)	Железнодорожный район
11017	11018	190000	1	0.0	136	53.190204632	50.140571359	POINT (50.140571359 53.190204632)	Железнодорожный район
7020	7021	190000	1	0.0	2	53.180123541	50.188935787	POINT (50.188935787 53.180123541)	Железнодорожный район
8190	8191	190000	1	0.0	7	53.1821701	50.1304543	POINT (50.1304543 53.1821701)	Железнодорожный район
7026	7027	190000	1	0.0	4	53.180151966	50.156939331	POINT (50.156939331 53.180151966)	Железнодорожный район
5886	5887	190000	1	0.0	5	53.176537403	50.151273733	POINT (50.151273733 53.176537403)	Железнодорожный район
8967	8968	190000	1	0.0	4	53.183396072	50.121931618	POINT (50.121931618 53.183396072)	Железнодорожный район
9588	9589	190000	1	0.0	34	53.184641952	50.109042901	POINT (50.109042901 53.184641952)	Железнодорожный район
7201	7202	190000	1	0.0	7	53.180557049	50.131521817	POINT (50.131521817 53.180557049)	Железнодорожный район
7365	7366	190000	1	0.0	4	53.180824941	50.14842822	POINT (50.14842822 53.180824941)	Железнодорожный район
11898	11899	190000	1	0.0	74	53.194540428	50.177590183	POINT (50.177590183 53.194540428)	Железнодорожный район
12219	12220	190000	1	0.0	91	53.19688695	50.1646401	POINT (50.1646401 53.19688695)	Железнодорожный район
8194	8195	190000	1	0.0	4	53.1821734	50.12320345	POINT (50.12320345 53.1821734)	Железнодорожный район
5536	5537	190000	1	0.0	14	53.175080932	50.172007765	POINT (50.172007765 53.175080932)	Железнодорожный район
5387	5388	190000	1	0.0	10	53.174188938	50.183815964	POINT (50.183815964 53.174188938)	Железнодорожный район
6595	6596	190000	1	0.0	10	53.17901625	50.1779793	POINT (50.1779793 53.17901625)	Железнодорожный район
5330	5331	190000	1	0.0	4	53.1737201	50.17770745	POINT (50.17770745 53.1737201)	Железнодорожный район
6505	6506	190000	1	0.0	12	53.178794702	50.187860733	POINT (50.187860733 53.178794702)	Железнодорожный район
6355	6356	190000	1	0.0	2	53.1782959	50.179409	POINT (50.179409 53.1782959)	Железнодорожный район
5322	5323	190000	1	0.0	1	53.173681906	50.184090417	POINT (50.184090417 53.173681906)	Железнодорожный район
5689	5690	190000	1	0.0	8	53.175803926	50.177571205	POINT (50.177571205 53.175803926)	Железнодорожный район
8719	8720	190000	1	0.0	4	53.182962827	50.181726427	POINT (50.181726427 53.182962827)	Железнодорожный район
6957	6958	190000	1	0.0	5	53.179977463	50.190616695	POINT (50.190616695 53.179977463)	Железнодорожный район
6377	6378	190000	1	0.0	12	53.178372903	50.165600617	POINT (50.165600617 53.178372903)	Железнодорожный район
9013	9014	190000	1	0.0	6	53.183467576	50.189294637	POINT (50.189294637 53.183467576)	Железнодорожный район
6521	6522	190000	1	0.0	2	53.178851949	50.169676233	POINT (50.169676233 53.178851949)	Железнодорожный район
6889	6890	190000	1	0.0	7	53.1797768	50.1693584	POINT (50.1693584 53.1797768)	Железнодорожный район
5446	5447	190000	1	0.0	8	53.174575685	50.178592648	POINT (50.178592648 53.174575685)	Железнодорожный район
8927	8928	190000	1	0.0	6	53.183314928	50.122286943	POINT (50.122286943 53.183314928)	Железнодорожный район
6964	6965	190000	1	0.0	14	53.17998722	50.152763432	POINT (50.152763432 53.17998722)	Железнодорожный район
10588	10589	190000	1	0.0	39	53.188414459	50.126191602	POINT (50.126191602 53.188414459)	Железнодорожный район
6048	6049	190000	1	0.0	3	53.177166632	50.175923907	POINT (50.175923907 53.177166632)	Железнодорожный район
10349	10350	190000	1	0.0	63	53.187437349	50.180109927	POINT (50.180109927 53.187437349)	Железнодорожный район
7383	7384	190000	1	0.0	6	53.18085325	50.16142635	POINT (50.16142635 53.18085325)	Железнодорожный район
11359	11360	190000	1	0.0	42	53.19167965	50.1241342	POINT (50.1241342 53.19167965)	Железнодорожный район
6303	6304	190000	1	0.0	5	53.17810605	50.14195115	POINT (50.14195115 53.17810605)	Железнодорожный район
6059	6060	190000	1	0.0	6	53.17722689	50.170897157	POINT (50.170897157 53.17722689)	Железнодорожный район
5658	5659	190000	1	0.0	6	53.175660715	50.163903093	POINT (50.163903093 53.175660715)	Железнодорожный район
8658	8659	190000	1	0.0	8	53.182865669	50.18359234	POINT (50.18359234 53.182865669)	Железнодорожный район
6888	6889	190000	1	0.0	13	53.179776196	50.155250802	POINT (50.155250802 53.179776196)	Железнодорожный район
8003	8004	190000	1	0.0	14	53.18189881	50.134029759	POINT (50.134029759 53.18189881)	Железнодорожный район
6345	6346	190000	1	0.0	2	53.178264314	50.165426113	POINT (50.165426113 53.178264314)	Железнодорожный район
5537	5538	190000	1	0.0	7	53.175090853	50.152480202	POINT (50.152480202 53.175090853)	Железнодорожный район
5706	5707	190000	1	0.0	2	53.175852767	50.174904773	POINT (50.174904773 53.175852767)	Железнодорожный район
10391	10392	190000	1	0.0	39	53.187645863	50.123769714	POINT (50.123769714 53.187645863)	Железнодорожный район
6845	6846	190000	1	0.0	8	53.179658438	50.188760055	POINT (50.188760055 53.179658438)	Железнодорожный район
