sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
35932	17	6	M	1	0	X	X
553136	17	4	F	1	0	X	X
675135	17	25	F	1	0	X	X
79262	17	12	M	1	0	X	X
430063	17	60	M	1	0	X	X
506360	17	73	M	1	0	X	X
416342	17	58	M	1	0	X	X
192399	17	31	M	1	0	X	X
901413	17	51	F	1	0	X	X
965899	17	59	F	1	0	X	X
1059512	17	69	F	1	0	X	X
15856	17	3	M	1	0	X	X
464724	17	65	M	1	0	X	X
347084	17	48	M	1	0	X	X
423074	17	59	M	1	0	X	X
984327	17	61	F	1	0	X	X
641091	17	18	F	1	0	X	X
820731	17	42	F	1	0	X	X
573646	17	7	F	1	0	X	X
476678	17	67	M	1	0	X	X
772105	17	37	F	1	0	X	X
126868	17	20	M	1	0	X	X
1138365	17	83	F	1	0	X	X
85715	17	13	M	1	0	X	X
740899	17	34	F	1	0	X	X
28463	17	5	M	1	0	X	X
782070	17	38	F	1	0	X	X
272002	17	39	M	1	0	X	X
115436	17	18	M	1	0	X	X
464725	17	65	M	1	0	X	X
1013525	17	64	F	1	0	X	X
965898	17	59	F	1	0	X	X
884096	17	49	F	1	0	X	X
661242	17	22	F	1	0	X	X
331042	17	46	M	1	0	X	X
314974	17	44	M	1	0	X	X
262148	17	38	M	1	0	X	X
541891	17	2	F	1	0	X	X
423075	17	59	M	1	0	X	X
322962	17	45	M	1	0	X	X
492784	17	70	M	1	0	X	X
1077059	17	71	F	1	0	X	X
811052	17	41	F	1	0	X	X
513275	17	75	M	1	0	X	X
1068439	17	70	F	1	0	X	X
1124458	17	80	F	1	0	X	X
940777	17	56	F	1	0	X	X
164118	17	27	M	1	0	X	X
1077058	17	71	F	1	0	X	X
1041469	17	67	F	1	0	X	X
751407	17	35	F	1	0	X	X
751406	17	35	F	1	0	X	X
691596	17	28	F	1	0	X	X
829780	18	43	F	1	0	X	X
184300	18	30	M	1	0	X	X
721635	18	32	F	1	0	X	X
109591	18	17	M	1	0	X	X
910106	18	52	F	1	0	X	X
521100	18	80	M	1	0	X	X
856843	18	46	F	1	0	X	X
289663	18	41	M	1	0	X	X
1013526	18	64	F	1	0	X	X
1155284	18	91	F	1	0	X	X
740900	18	34	F	1	0	X	X
58571	18	9	M	1	0	X	X
482416	18	68	M	1	0	X	X
445038	18	62	M	1	0	X	X
396716	18	55	M	1	0	X	X
751408	18	35	F	1	0	X	X
984328	18	61	F	1	0	X	X
339280	18	47	M	1	0	X	X
176659	18	29	M	1	0	X	X
721634	18	32	F	1	0	X	X
306948	18	43	M	1	0	X	X
289664	18	41	M	1	0	X	X
530779	18	89	M	1	0	X	X
731022	18	33	F	1	0	X	X
221149	18	34	M	1	0	X	X
43634	18	7	M	1	0	X	X
675136	18	25	F	1	0	X	X
917921	18	53	F	1	0	X	X
115437	18	18	M	1	0	X	X
957055	18	58	F	1	0	X	X
403290	18	56	M	1	0	X	X
691597	18	28	F	1	0	X	X
994475	18	62	F	1	0	X	X
403289	18	56	M	1	0	X	X
280969	19	40	M	1	0	X	X
65916	19	10	M	1	0	X	X
547120	19	3	F	1	0	X	X
497558	19	71	M	1	0	X	X
697793	19	29	F	1	0	X	X
306950	19	43	M	1	0	X	X
65917	19	10	M	1	0	X	X
547119	19	3	F	1	0	X	X
306951	19	43	M	1	0	X	X
547121	19	3	F	1	0	X	X
98265	19	15	M	1	0	X	X
524453	19	82	M	1	0	X	X
423076	19	59	M	1	0	X	X
884097	19	49	F	1	0	X	X
1059514	19	69	F	1	0	X	X
1059513	19	69	F	1	0	X	X
704994	19	30	F	1	0	X	X
28465	19	5	M	1	0	X	X
646409	19	19	F	1	0	X	X
164120	19	27	M	1	0	X	X
547122	19	3	F	1	0	X	X
28464	19	5	M	1	0	X	X
306949	19	43	M	1	0	X	X
164119	19	27	M	1	0	X	X
170213	19	28	M	1	0	X	X
437266	19	61	M	1	0	X	X
712879	19	31	F	1	0	X	X
712878	19	31	F	1	0	X	X
1041472	19	67	F	1	0	X	X
1041471	19	67	F	1	0	X	X
1041470	19	67	F	1	0	X	X
712877	19	31	F	1	0	X	X
192401	19	31	M	1	0	X	X
192402	19	31	M	1	0	X	X
369618	19	51	M	1	0	X	X
369619	19	51	M	1	0	X	X
712876	19	31	F	1	0	X	X
221150	19	34	M	1	0	X	X
619126	19	14	F	1	0	X	X
121284	19	19	M	1	0	X	X
121283	19	19	M	1	0	X	X
731023	19	33	F	1	0	X	X
731024	19	33	F	1	0	X	X
731025	19	33	F	1	0	X	X
731026	19	33	F	1	0	X	X
731027	19	33	F	1	0	X	X
1124460	19	80	F	1	0	X	X
1124459	19	80	F	1	0	X	X
262149	19	38	M	1	0	X	X
92333	19	14	M	1	0	X	X
262150	19	38	M	1	0	X	X
192400	19	31	M	1	0	X	X
613212	19	13	F	1	0	X	X
1050885	19	68	F	1	0	X	X
1154395	19	90	F	1	0	X	X
984330	19	61	F	1	0	X	X
984329	19	61	F	1	0	X	X
482418	19	68	M	1	0	X	X
482417	19	68	M	1	0	X	X
362169	19	50	M	1	0	X	X
875328	19	48	F	1	0	X	X
875327	19	48	F	1	0	X	X
1138366	19	83	F	1	0	X	X
933188	19	55	F	1	0	X	X
85716	19	13	M	1	0	X	X
22009	19	4	M	1	0	X	X
22008	19	4	M	1	0	X	X
820732	19	42	F	1	0	X	X
464727	19	65	M	1	0	X	X
377438	19	52	M	1	0	X	X
782071	19	38	F	1	0	X	X
464726	19	65	M	1	0	X	X
115438	19	18	M	1	0	X	X
298427	19	42	M	1	0	X	X
430064	19	60	M	1	0	X	X
566391	19	6	F	1	0	X	X
1121310	19	79	F	1	0	X	X
1152320	19	88	F	1	0	X	X
1085345	19	72	F	1	0	X	X
607287	19	12	F	1	0	X	X
607288	19	12	F	1	0	X	X
109593	19	17	M	1	0	X	X
109592	19	17	M	1	0	X	X
1077060	19	71	F	1	0	X	X
866392	19	47	F	1	0	X	X
72858	19	11	M	1	0	X	X
1093724	19	73	F	1	0	X	X
925637	19	54	F	1	0	X	X
15858	19	3	M	1	0	X	X
15857	19	3	M	1	0	X	X
856844	19	46	F	1	0	X	X
272003	19	39	M	1	0	X	X
10353	19	2	M	1	0	X	X
231516	19	35	M	1	0	X	X
1093725	19	73	F	1	0	X	X
231517	19	35	M	1	0	X	X
58572	19	9	M	1	0	X	X
272005	19	39	M	1	0	X	X
910107	19	52	F	1	0	X	X
594686	19	10	F	1	0	X	X
594687	19	10	F	1	0	X	X
470645	19	66	M	1	0	X	X
470644	19	66	M	1	0	X	X
641092	19	18	F	1	0	X	X
630099	19	16	F	1	0	X	X
272004	19	39	M	1	0	X	X
901414	19	51	F	1	0	X	X
1100949	19	74	F	1	0	X	X
892846	19	50	F	1	0	X	X
170214	19	28	M	1	0	X	X
940778	19	56	F	1	0	X	X
492785	19	70	M	1	0	X	X
665824	19	23	F	1	0	X	X
751409	19	35	F	1	0	X	X
635431	19	17	F	1	0	X	X
635430	19	17	F	1	0	X	X
691598	19	28	F	1	0	X	X
314976	19	44	M	1	0	X	X
314975	19	44	M	1	0	X	X
43635	19	7	M	1	0	X	X
142568	19	23	M	1	0	X	X
142567	19	23	M	1	0	X	X
43636	19	7	M	1	0	X	X
1068440	19	70	F	1	0	X	X
957056	19	58	F	1	0	X	X
559223	19	5	F	1	0	X	X
5189	19	1	M	1	0	X	X
506361	19	73	M	1	0	X	X
965900	19	59	F	1	0	X	X
35933	19	6	M	1	0	X	X
580888	19	8	F	1	0	X	X
772106	19	37	F	1	0	X	X
242157	19	36	M	1	0	X	X
92332	19	14	M	1	0	X	X
1107410	19	75	F	1	0	X	X
