H1N1	H3N2	B
8	0	0
3	0	0
10	0	0
5	0	0
48	0	0
2	0	0
0	0	0
60	0	0
1	0	0
63	0	0
29	0	0
34	0	0
4	0	0
23	0	0
64	0	0
54	0	0
180	0	0
148	0	0
467	0	0
90	0	0
76	0	0
213	0	0
85	0	0
983	0	0
261	0	0
1279	0	0
0	0	0
1695	0	0
759	0	0
617	0	0
99	0	0
1024	0	0
239	0	0
4214	0	0
1888	0	0
5463	0	0
4801	0	0
1543	0	0
3326	0	0
194	0	0
8054	0	0
2	0	0
3763	0	0
144	0	0
2840	0	0
3	0	0
252	0	0
3915	0	0
59	0	0
645	0	0
1182	0	0
265	0	0
753	0	0
178	0	0
473	0	0
157	0	0
142	0	0
70	0	0
463	0	0
0	0	0
0	0	0
51	0	0
146	0	0
54	0	0
0	0	0
11	0	0
20	0	0
21	0	0
12	0	0
15	0	0
34	0	0
0	0	0
11	0	0
4	0	0
0	0	0
15	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
