H1N1	H3N2	B
16	0	0
33	0	0
41	0	0
108	0	0
135	0	0
145	0	0
173	0	0
198	0	0
258	0	0
262	0	0
452	0	0
500	0	0
646	0	0
816	0	0
1565	0	0
1559	0	0
2310	0	0
2363	0	0
5042	0	0
4983	0	0
5109	0	0
5459	0	0
7437	0	0
10207	0	0
13341	0	0
19631	0	0
22244	0	0
32194	0	0
44106	0	0
44712	0	0
57962	0	0
55726	0	0
81681	0	0
75672	0	0
76931	0	0
85083	0	0
77647	0	0
80949	0	0
65218	0	0
68638	0	0
38812	0	0
38810	0	0
32122	0	0
14044	0	0
9289	0	0
5001	0	0
4752	0	0
785	0	0
806	0	0
456	0	0
409	0	0
393	0	0
402	0	0
252	0	0
218	0	0
212	0	0
111	0	0
109	0	0
95	0	0
31	0	0
2	0	0
3	0	0
2	0	0
3	0	0
3	0	0
3	0	0
4	0	0
4	0	0
5	0	0
4	0	0
4	0	0
3	0	0
3	0	0
2	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
