S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
155966.0	24.0	10.0	44000.0	6.411653821986843e-06	148000.0	0.0	0.0	51985.0		120000.0	0.0	0.0	79989.0	
155933.0	57.0	10.0	44000.0	0.0	148000.0	0.0	0.0	51976.0		120000.0	0.0	0.0	79978.0	
155929.0	37.0	34.0	44000.0	4.526947219190635e-06	148000.0	0.0	0.0	51976.0		120000.0	0.0	0.0	79975.0	
155807.0	126.0	67.0	44000.0	3.161201444305043e-06	148000.0	0.0	0.0	51948.0		120000.0	0.0	0.0	79930.0	
155801.0	128.0	71.0	44000.0	3.616024811715848e-07	148000.0	0.0	0.0	51946.0		120000.0	0.0	0.0	79928.0	
155790.0	17.0	193.0	44000.0	4.057541256381066e-06	148000.0	0.0	0.0	51942.0		120000.0	0.0	0.0	79925.0	
155680.0	121.0	189.0	44010.0	2.039184978547774e-07	147995.0	0.0	0.0	51924.0		119993.0	0.0	0.0	79891.0	
155572.0	218.0	200.0	44010.0	3.535340549713316e-07	147995.0	0.0	0.0	51899.0		119993.0	0.0	0.0	79846.0	
155261.0	419.0	286.0	44034.0	2.477218262251207e-06	147981.0	0.0	0.0	51857.0		119977.0	0.0	0.0	79752.0	
155160.0	412.0	361.0	44067.0	1.928132089902372e-06	147957.0	0.0	0.0	51865.0		119955.0	0.0	0.0	79744.0	
154739.0	522.0	668.0	44071.0	3.0087364030751726e-06	147953.0	0.0	0.0	51770.0		119954.0	0.0	0.0	79571.0	
154714.0	446.0	647.0	44193.0	1.0089914323440576e-06	147859.0	0.0	0.0	51884.0		119877.0	0.0	0.0	79688.0	
153722.0	1017.0	1062.0	44199.0	2.5788231064804514e-06	147855.0	0.0	0.0	51637.0		119873.0	0.0	0.0	79321.0	
153283.0	1431.0	1076.0	44210.0	1.5157715300127492e-07	147848.0	0.0	0.0	51536.0		119865.0	0.0	0.0	79157.0	
152245.0	1477.0	1958.0	44320.0	3.3277902590412993e-06	147766.0	0.0	0.0	51393.0		119799.0	0.0	0.0	78857.0	
152149.0	1134.0	2289.0	44428.0	1.2605196647083159e-06	147683.0	0.0	0.0	51478.0		119736.0	0.0	0.0	78923.0	
149897.0	2348.0	3016.0	44739.0	2.296006299214939e-06	147438.0	0.0	0.0	51183.0		119543.0	0.0	0.0	78332.0	
149428.0	2721.0	3011.0	44840.0	2.1336761060290156e-07	147362.0	0.0	0.0	51174.0		119483.0	0.0	0.0	78249.0	
149243.0	654.0	4842.0	45261.0	3.1163744184152732e-06	147040.0	0.0	0.0	51542.0		119239.0	0.0	0.0	78594.0	
146774.0	2654.0	5286.0	45286.0	6.045003460242471e-07	147023.0	0.0	0.0	50934.0		119219.0	0.0	0.0	77603.0	
142165.0	7078.0	4479.0	46278.0	2.9053467779904463e-07	146284.0	0.0	0.0	50711.0		118600.0	0.0	0.0	76771.0	
138074.0	8700.0	6509.0	46717.0	2.7472293135318415e-06	145957.0	0.0	0.0	50067.0		118336.0	0.0	0.0	75533.0	
131887.0	10278.0	10080.0	47755.0	3.466922922593307e-06	145172.0	0.0	0.0	49475.0		117708.0	0.0	0.0	74128.0	
124177.0	13897.0	14075.0	47851.0	2.3406685103174004e-06	145099.0	0.0	0.0	47553.0		117654.0	0.0	0.0	71167.0	
123596.0	8291.0	18010.0	50103.0	2.7794699784806937e-06	143453.0	0.0	0.0	49655.0		116304.0	0.0	0.0	73189.0	
90043.0	34134.0	25251.0	50572.0	3.390984776165931e-06	143094.0	0.0	0.0	41470.0		116019.0	0.0	0.0	60199.0	
88478.0	35118.0	25647.0	50757.0	2.560379041439442e-07	142962.0	0.0	0.0	41259.0		115910.0	0.0	0.0	59746.0	
70854.0	19189.0	56731.0	53226.0	8.347310046088223e-06	141126.0	0.0	0.0	39020.0		114457.0	0.0	0.0	55159.0	
69624.0	18854.0	53687.0	57835.0	4.1868387487462733e-07	137732.0	0.0	0.0	43300.0		111672.0	0.0	0.0	59280.0	
31889.0	38965.0	67220.0	61926.0	8.221765306126542e-06	134724.0	0.0	0.0	37582.0		109258.0	0.0	0.0	48258.0	
27846.0	41778.0	62263.0	68113.0	7.094344114441972e-07	130167.0	0.0	0.0	42764.0		105514.0	0.0	0.0	52867.0	
22161.0	9728.0	92288.0	75823.0	1.8450569095249923e-05	124475.0	0.0	0.0	48959.0		100861.0	0.0	0.0	58275.0	
21835.0	6011.0	95750.0	76404.0	1.933800919667504e-06	124044.0	0.0	0.0	49442.0		100510.0	0.0	0.0	58730.0	
21534.0	627.0	67882.0	109957.0	3.889118094879032e-06	99145.0	0.0	0.0	82919.0		80416.0	0.0	0.0	92167.0	
17319.0	4516.0	66643.0	111522.0	2.824491348508055e-07	97976.0	0.0	0.0	83387.0		79489.0	0.0	0.0	92086.0	
17103.0	4431.0	49320.0	129146.0	3.5683802906098395e-07	85060.0	0.0	0.0	100959.0		68921.0	0.0	0.0	109630.0	
16981.0	338.0	52305.0	130376.0	4.745599794584771e-06	84159.0	0.0	0.0	102150.0		68179.0	0.0	0.0	110818.0	
16161.0	942.0	14786.0	168111.0	9.039300392298105e-07	56233.0	0.0	0.0	139665.0		45557.0	0.0	0.0	148232.0	
16138.0	843.0	10865.0	172154.0	6.957935345610059e-07	53195.0	0.0	0.0	143701.0		43092.0	0.0	0.0	152265.0	
15579.0	582.0	6000.0	177839.0	8.772492885722233e-06	49025.0	0.0	0.0	149239.0		39709.0	0.0	0.0	157731.0	
15573.0	565.0	5697.0	178165.0	2.592443696152479e-07	48797.0	0.0	0.0	149563.0		39509.0	0.0	0.0	158055.0	
15495.0	84.0	5955.0	178466.0	6.058128228032715e-06	48572.0	0.0	0.0	149842.0		39324.0	0.0	0.0	158330.0	
15486.0	87.0	1746.0	182681.0	2.2190534139471057e-07	45454.0	0.0	0.0	154053.0		36755.0	0.0	0.0	162542.0	
15141.0	354.0	1608.0	182897.0	3.2037159161592473e-06	45290.0	0.0	0.0	154178.0		36619.0	0.0	0.0	162620.0	
15068.0	418.0	1495.0	183019.0	3.995266053644881e-07	45207.0	0.0	0.0	154285.0		36539.0	0.0	0.0	162709.0	
15020.0	121.0	1020.0	183839.0	2.2518994282133626e-05	44607.0	0.0	0.0	155094.0		36040.0	0.0	0.0	163505.0	
15012.0	56.0	1070.0	183862.0	4.544650883654447e-06	44591.0	0.0	0.0	155113.0		36027.0	0.0	0.0	163525.0	
15012.0	8.0	559.0	184421.0	5.719932104405921e-06	44179.0	0.0	0.0	155672.0		35687.0	0.0	0.0	164084.0	
15006.0	6.0	561.0	184427.0	9.503031823515395e-07	44175.0	0.0	0.0	155676.0		35683.0	0.0	0.0	164089.0	
15001.0	11.0	483.0	184505.0	0.0	44119.0	0.0	0.0	155752.0		35631.0	0.0	0.0	164164.0	
15000.0	6.0	480.0	184514.0	8.333333333333333e-07	44114.0	0.0	0.0	155761.0		35625.0	0.0	0.0	164172.0	
14998.0	3.0	140.0	184859.0	2.381269883603528e-06	43860.0	0.0	0.0	156106.0		35418.0	0.0	0.0	164516.0	
14998.0	2.0	68.0	184932.0	9.805228932485115e-07	43802.0	0.0	0.0	156179.0		35378.0	0.0	0.0	164589.0	
14998.0	0.0	22.0	184980.0	6.061414249172617e-06	43765.0	0.0	0.0	156227.0		35354.0	0.0	0.0	164637.0	
14998.0	0.0	14.0	184988.0	0.0	43761.0	0.0	0.0	156235.0		35349.0	0.0	0.0	164645.0	
14998.0	0.0	14.0	184988.0	0.0	43761.0	0.0	0.0	156235.0		35349.0	0.0	0.0	164645.0	
14998.0	0.0	8.0	184994.0	0.0	43757.0	0.0	0.0	156241.0		35344.0	0.0	0.0	164651.0	
14998.0	0.0	3.0	184999.0	0.0	43754.0	0.0	0.0	156246.0		35342.0	0.0	0.0	164656.0	
14998.0	0.0	2.0	185000.0	0.0	43753.0	0.0	0.0	156247.0		35342.0	0.0	0.0	164657.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
