S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
3086.0	24.0	10.0	880.0	0.0003240440699935191	2960.0	0.0	0.0	1027.0		2400.0	0.0	0.0	1586.0	
3071.0	39.0	10.0	880.0	0.0	2960.0	0.0	0.0	1021.0		2400.0	0.0	0.0	1584.0	
3046.0	40.0	34.0	880.0	0.00023174075933722144	2960.0	0.0	0.0	1013.0		2400.0	0.0	0.0	1574.0	
3010.0	61.0	49.0	880.0	0.0001017018102922232	2960.0	0.0	0.0	1005.0		2400.0	0.0	0.0	1562.0	
2974.0	72.0	74.0	880.0	0.00011359712099456551	2960.0	0.0	0.0	1001.0		2400.0	0.0	0.0	1554.0	
2842.0	168.0	110.0	880.0	0.00011515578018041072	2960.0	0.0	0.0	964.0		2400.0	0.0	0.0	1499.0	
2731.0	243.0	136.0	890.0	9.692635750748487e-05	2953.0	0.0	0.0	948.0		2394.0	0.0	0.0	1464.0	
2602.0	240.0	268.0	890.0	0.0001892918191517432	2953.0	0.0	0.0	916.0		2394.0	0.0	0.0	1420.0	
2406.0	325.0	355.0	914.0	0.00012995679814548137	2939.0	0.0	0.0	901.0		2380.0	0.0	0.0	1370.0	
2257.0	345.0	469.0	929.0	0.00012186677222155568	2930.0	0.0	0.0	872.0		2367.0	0.0	0.0	1318.0	
1960.0	446.0	640.0	954.0	0.00015625	2913.0	0.0	0.0	830.0		2352.0	0.0	0.0	1226.0	
1743.0	514.0	753.0	990.0	0.00011352562593382446	2885.0	0.0	0.0	807.0		2328.0	0.0	0.0	1177.0	
1377.0	583.0	1014.0	1026.0	0.0002127083575047376	2853.0	0.0	0.0	734.0		2300.0	0.0	0.0	1066.0	
916.0	827.0	1099.0	1158.0	0.00021555920229188107	2758.0	0.0	0.0	751.0		2223.0	0.0	0.0	1007.0	
650.0	727.0	1354.0	1269.0	0.00041586183388251334	2673.0	0.0	0.0	793.0		2157.0	0.0	0.0	1009.0	
583.0	333.0	1686.0	1398.0	0.0004690021140702669	2576.0	0.0	0.0	907.0		2072.0	0.0	0.0	1102.0	
248.0	402.0	1756.0	1594.0	0.0006108090234403703	2419.0	0.0	0.0	1015.0		1950.0	0.0	0.0	1166.0	
161.0	422.0	1674.0	1743.0	0.0002485956202646245	2314.0	0.0	0.0	1143.0		1868.0	0.0	0.0	1279.0	
122.0	126.0	1712.0	2040.0	0.00160391450896277	2084.0	0.0	0.0	1429.0		1688.0	0.0	0.0	1553.0	
118.0	43.0	1582.0	2257.0	0.00046604812616512034	1926.0	0.0	0.0	1644.0		1556.0	0.0	0.0	1769.0	
96.0	26.0	1255.0	2623.0	0.00032370517928286853	1669.0	0.0	0.0	1999.0		1337.0	0.0	0.0	2125.0	
88.0	30.0	798.0	3084.0	5.696058327637275e-05	1323.0	0.0	0.0	2459.0		1067.0	0.0	0.0	2583.0	
88.0	8.0	554.0	3350.0	0.0004512635379061372	1126.0	0.0	0.0	2725.0		910.0	0.0	0.0	2849.0	
80.0	8.0	495.0	3417.0	0.00020202020202020202	1074.0	0.0	0.0	2792.0		879.0	0.0	0.0	2912.0	
75.0	13.0	160.0	3752.0	0.0	827.0	0.0	0.0	3127.0		676.0	0.0	0.0	3244.0	
75.0	5.0	81.0	3839.0	0.0013168724279835392	761.0	0.0	0.0	3214.0		625.0	0.0	0.0	3331.0	
75.0	0.0	47.0	3878.0	0.0014184397163120568	733.0	0.0	0.0	3253.0		609.0	0.0	0.0	3370.0	
75.0	0.0	43.0	3882.0	0.0	731.0	0.0	0.0	3257.0		606.0	0.0	0.0	3374.0	
75.0	0.0	21.0	3904.0	0.0	720.0	0.0	0.0	3279.0		594.0	0.0	0.0	3396.0	
75.0	0.0	13.0	3912.0	0.0	713.0	0.0	0.0	3287.0		589.0	0.0	0.0	3404.0	
75.0	0.0	13.0	3912.0	0.0	713.0	0.0	0.0	3287.0		589.0	0.0	0.0	3404.0	
75.0	0.0	5.0	3920.0	0.0	705.0	0.0	0.0	3295.0		585.0	0.0	0.0	3412.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
